文件名: ./emb_a90b75.npy, TC = 0.5893, TD = 0.7087
文件名: ./emb_a25b75.npy, TC = 0.5950, TD = 0.7087
文件名: ./emb_a85b45.npy, TC = 0.5808, TD = 0.6870
文件名: ./emb_a70b10.npy, TC = 0.5786, TD = 0.6920
文件名: ./emb_a80b5.npy, TC = 0.4508, TD = 0.7000
文件名: ./emb_a80b40.npy, TC = 0.5794, TD = 0.6880
文件名: ./emb_a65b95.npy, TC = 0.5847, TD = 0.7045
文件名: ./emb_a85b85.npy, TC = 0.5801, TD = 0.7000
文件名: ./emb_a40b95.npy, TC = 0.5571, TD = 0.5964
文件名: ./emb_a60b95.npy, TC = 0.5849, TD = 0.6792
文件名: ./emb_a65b35.npy, TC = 0.4500, TD = 0.7000
文件名: ./emb_a80b15.npy, TC = 0.4507, TD = 0.7000
文件名: ./emb_a90b40.npy, TC = 0.5789, TD = 0.6800
文件名: ./emb_a30b95.npy, TC = 0.5761, TD = 0.5767
文件名: ./emb_a50b30.npy, TC = 0.5836, TD = 0.6964
文件名: ./emb_a5b65.npy, TC = 0.5426, TD = 0.6125
文件名: ./emb_a30b55.npy, TC = 0.3945, TD = 1.0000
文件名: ./emb_a75b80.npy, TC = 0.5839, TD = 0.6917
文件名: ./emb_a35b95.npy, TC = 0.5563, TD = 0.6194
文件名: ./emb_a15b65.npy, TC = 0.5848, TD = 0.7000
文件名: ./emb_a25b35.npy, TC = 0.3947, TD = 1.0000
文件名: ./emb_a5b80.npy, TC = 0.5429, TD = 0.5783
文件名: ./emb_a15b75.npy, TC = 0.5630, TD = 0.5957
文件名: ./emb_a15b25.npy, TC = 0.3942, TD = 1.0000
文件名: ./emb_a90b45.npy, TC = 0.5866, TD = 0.7080
文件名: ./emb_a65b50.npy, TC = 0.5757, TD = 0.6792
文件名: ./emb_a50b20.npy, TC = 0.5927, TD = 0.7080
文件名: ./emb_a50b25.npy, TC = 0.5933, TD = 0.7250
文件名: ./emb_a20b20.npy, TC = 0.5466, TD = 0.7667
文件名: ./emb_a30b65.npy, TC = 0.5796, TD = 0.6636
文件名: ./emb_a20b5.npy, TC = 0.5282, TD = 0.7333
文件名: ./emb_a30b25.npy, TC = 0.6011, TD = 0.6870
文件名: ./emb_a85b20.npy, TC = 0.5825, TD = 0.6760
文件名: ./emb_a35b60.npy, TC = 0.6052, TD = 0.7000
文件名: ./emb_a5b15.npy, TC = 0.3812, TD = 1.0000
文件名: ./emb_a60b25.npy, TC = 0.5893, TD = 0.7077
文件名: ./emb_a60b10.npy, TC = 0.5967, TD = 0.7111
文件名: ./emb_a60b35.npy, TC = 0.4501, TD = 0.7000
文件名: ./emb_a20b55.npy, TC = 0.3943, TD = 1.0000
文件名: ./emb_a45b95.npy, TC = 0.5818, TD = 0.6840
文件名: ./emb_a35b85.npy, TC = 0.5899, TD = 0.6913
文件名: ./emb_a90b85.npy, TC = 0.5751, TD = 0.6727
文件名: ./emb_a95b10.npy, TC = 0.5657, TD = 0.6609
文件名: ./emb_a65b80.npy, TC = 0.5782, TD = 0.7083
文件名: ./emb_a30b40.npy, TC = 0.5929, TD = 0.6792
文件名: ./emb_a55b5.npy, TC = 0.5902, TD = 0.6852
文件名: ./emb_a35b35.npy, TC = 0.6076, TD = 0.7043
文件名: ./emb_a45b80.npy, TC = 0.6011, TD = 0.7074
文件名: ./emb_a15b15.npy, TC = 0.3938, TD = 1.0000
文件名: ./emb_a45b35.npy, TC = 0.6081, TD = 0.7360
文件名: ./emb_a35b45.npy, TC = 0.6040, TD = 0.7045
文件名: ./emb_a65b75.npy, TC = 0.5917, TD = 0.6833
文件名: ./emb_a35b65.npy, TC = 0.6039, TD = 0.7174
文件名: ./emb_a85b25.npy, TC = 0.5888, TD = 0.6731
文件名: ./emb_a40b40.npy, TC = 0.5989, TD = 0.7269
文件名: ./emb_a50b90.npy, TC = 0.5782, TD = 0.6895
文件名: ./emb_a40b5.npy, TC = 0.5987, TD = 0.7038
文件名: ./emb_a5b75.npy, TC = 0.5585, TD = 0.5571
文件名: ./emb_a65b55.npy, TC = 0.5822, TD = 0.6857
文件名: ./emb_a30b60.npy, TC = 0.5906, TD = 0.6909
文件名: ./emb_a20b85.npy, TC = 0.5713, TD = 0.6385
文件名: ./emb_a25b45.npy, TC = 0.3947, TD = 1.0000
文件名: ./emb_a50b50.npy, TC = 0.5870, TD = 0.7130
文件名: ./emb_a45b40.npy, TC = 0.6008, TD = 0.7542
文件名: ./emb_a25b65.npy, TC = 0.5820, TD = 0.7080
文件名: ./emb_a55b80.npy, TC = 0.6001, TD = 0.7160
文件名: ./emb_a45b55.npy, TC = 0.5950, TD = 0.7333
文件名: ./emb_a95b25.npy, TC = 0.5833, TD = 0.6815
