文件名: ./emb_a15b85.npy, TC = 0.5467, TD = 0.5643
文件名: ./emb_a15b95.npy, TC = 0.5068, TD = 0.5615
文件名: ./emb_a20b45.npy, TC = 0.3696, TD = 1.0000
文件名: ./emb_a70b55.npy, TC = 0.5734, TD = 0.6885
文件名: ./emb_a95b85.npy, TC = 0.5808, TD = 0.7043
文件名: ./emb_a60b60.npy, TC = 0.5830, TD = 0.6538
文件名: ./emb_a45b90.npy, TC = 0.5658, TD = 0.6800
文件名: ./emb_a90b75.npy, TC = 0.5924, TD = 0.6957
文件名: ./emb_a25b75.npy, TC = 0.5773, TD = 0.6696
文件名: ./emb_a85b45.npy, TC = 0.5842, TD = 0.7000
文件名: ./emb_a70b10.npy, TC = 0.5861, TD = 0.6800
文件名: ./emb_a80b5.npy, TC = 0.4400, TD = 0.7000
文件名: ./emb_a80b40.npy, TC = 0.5808, TD = 0.6720
文件名: ./emb_a65b95.npy, TC = 0.5809, TD = 0.6818
文件名: ./emb_a85b85.npy, TC = 0.5872, TD = 0.6913
文件名: ./emb_a40b95.npy, TC = 0.5415, TD = 0.6036
文件名: ./emb_a60b95.npy, TC = 0.5748, TD = 0.6458
文件名: ./emb_a65b35.npy, TC = 0.4393, TD = 0.7000
文件名: ./emb_a80b15.npy, TC = 0.4400, TD = 0.7000
文件名: ./emb_a90b40.npy, TC = 0.5810, TD = 0.6760
文件名: ./emb_a30b95.npy, TC = 0.5460, TD = 0.5567
文件名: ./emb_a50b30.npy, TC = 0.5734, TD = 0.6929
文件名: ./emb_a5b65.npy, TC = 0.5587, TD = 0.6125
文件名: ./emb_a30b55.npy, TC = 0.3697, TD = 1.0000
文件名: ./emb_a75b80.npy, TC = 0.5833, TD = 0.6917
文件名: ./emb_a35b95.npy, TC = 0.5479, TD = 0.5968
文件名: ./emb_a15b65.npy, TC = 0.5939, TD = 0.7067
文件名: ./emb_a25b35.npy, TC = 0.3695, TD = 1.0000
文件名: ./emb_a5b80.npy, TC = 0.5393, TD = 0.5609
文件名: ./emb_a15b75.npy, TC = 0.5573, TD = 0.6043
文件名: ./emb_a15b25.npy, TC = 0.3703, TD = 1.0000
文件名: ./emb_a90b45.npy, TC = 0.5826, TD = 0.7120
文件名: ./emb_a65b50.npy, TC = 0.5701, TD = 0.6833
文件名: ./emb_a50b20.npy, TC = 0.5897, TD = 0.6960
文件名: ./emb_a50b25.npy, TC = 0.5951, TD = 0.7125
文件名: ./emb_a20b20.npy, TC = 0.5317, TD = 0.7333
文件名: ./emb_a30b65.npy, TC = 0.5764, TD = 0.6545
文件名: ./emb_a20b5.npy, TC = 0.5193, TD = 0.7000
文件名: ./emb_a30b25.npy, TC = 0.6023, TD = 0.6783
文件名: ./emb_a85b20.npy, TC = 0.5860, TD = 0.6760
文件名: ./emb_a35b60.npy, TC = 0.6067, TD = 0.6960
文件名: ./emb_a5b15.npy, TC = 0.3705, TD = 1.0000
文件名: ./emb_a60b25.npy, TC = 0.5797, TD = 0.6923
文件名: ./emb_a60b10.npy, TC = 0.5864, TD = 0.6963
文件名: ./emb_a60b35.npy, TC = 0.4394, TD = 0.7000
文件名: ./emb_a20b55.npy, TC = 0.3699, TD = 1.0000
文件名: ./emb_a45b95.npy, TC = 0.5758, TD = 0.6880
文件名: ./emb_a35b85.npy, TC = 0.5848, TD = 0.6957
文件名: ./emb_a90b85.npy, TC = 0.5765, TD = 0.6727
文件名: ./emb_a95b10.npy, TC = 0.5757, TD = 0.6739
文件名: ./emb_a65b80.npy, TC = 0.5771, TD = 0.6833
文件名: ./emb_a30b40.npy, TC = 0.5835, TD = 0.6458
文件名: ./emb_a55b5.npy, TC = 0.5914, TD = 0.6889
文件名: ./emb_a35b35.npy, TC = 0.5889, TD = 0.6826
文件名: ./emb_a45b80.npy, TC = 0.5918, TD = 0.7074
文件名: ./emb_a15b15.npy, TC = 0.3689, TD = 1.0000
文件名: ./emb_a45b35.npy, TC = 0.6011, TD = 0.7040
文件名: ./emb_a35b45.npy, TC = 0.5856, TD = 0.6864
文件名: ./emb_a65b75.npy, TC = 0.5911, TD = 0.6625
文件名: ./emb_a35b65.npy, TC = 0.5941, TD = 0.7130
文件名: ./emb_a85b25.npy, TC = 0.5933, TD = 0.6885
文件名: ./emb_a40b40.npy, TC = 0.5890, TD = 0.7000
文件名: ./emb_a50b90.npy, TC = 0.5715, TD = 0.6947
文件名: ./emb_a40b5.npy, TC = 0.6008, TD = 0.7000
文件名: ./emb_a5b75.npy, TC = 0.5363, TD = 0.5286
文件名: ./emb_a65b55.npy, TC = 0.5749, TD = 0.6714
文件名: ./emb_a30b60.npy, TC = 0.5864, TD = 0.7000
文件名: ./emb_a20b85.npy, TC = 0.5521, TD = 0.6115
文件名: ./emb_a25b45.npy, TC = 0.3698, TD = 1.0000
文件名: ./emb_a50b50.npy, TC = 0.5835, TD = 0.7174
文件名: ./emb_a45b40.npy, TC = 0.5962, TD = 0.7292
文件名: ./emb_a25b65.npy, TC = 0.5814, TD = 0.6840
文件名: ./emb_a55b80.npy, TC = 0.5968, TD = 0.7120
文件名: ./emb_a45b55.npy, TC = 0.5906, TD = 0.7143
文件名: ./emb_a95b25.npy, TC = 0.5761, TD = 0.6667
文件名: ./emb_a70b60.npy, TC = 0.5739, TD = 0.6542
文件名: ./emb_a95b50.npy, TC = 0.5799, TD = 0.6826
文件名: ./emb_a10b75.npy, TC = 0.5398, TD = 0.5550
文件名: ./emb_a90b95.npy, TC = 0.5813, TD = 0.6773
文件名: ./emb_a30b90.npy, TC = 0.5478, TD = 0.6500
文件名: ./emb_a75b45.npy, TC = 0.5664, TD = 0.6917
文件名: ./emb_a15b55.npy, TC = 0.3699, TD = 1.0000
文件名: ./emb_a5b70.npy, TC = 0.5414, TD = 0.5900
文件名: ./emb_a35b25.npy, TC = 0.5947, TD = 0.6583
文件名: ./emb_a60b30.npy, TC = 0.5756, TD = 0.7000
文件名: ./emb_a50b40.npy, TC = 0.5682, TD = 0.6875
文件名: ./emb_a30b30.npy, TC = 0.5818, TD = 0.6524
文件名: ./emb_a90b15.npy, TC = 0.5315, TD = 0.7000
文件名: ./emb_a60b65.npy, TC = 0.5877, TD = 0.6741
文件名: ./emb_a70b90.npy, TC = 0.5695, TD = 0.6760
文件名: ./emb_a80b95.npy, TC = 0.5765, TD = 0.6913
文件名: ./emb_a45b75.npy, TC = 0.5968, TD = 0.6963
文件名: ./emb_a40b35.npy, TC = 0.3699, TD = 1.0000
文件名: ./emb_a20b40.npy, TC = 0.5709, TD = 0.6263
文件名: ./emb_a65b60.npy, TC = 0.5740, TD = 0.6593
文件名: ./emb_a10b25.npy, TC = 0.4418, TD = 0.7000
文件名: ./emb_a85b70.npy, TC = 0.5797, TD = 0.6739
文件名: ./emb_a20b25.npy, TC = 0.5852, TD = 0.6500
文件名: ./emb_a80b65.npy, TC = 0.5837, TD = 0.6667
