文件名: ./emb_a30b95.npy, TC = 0.5470, TD = 0.5533
文件名: ./emb_a50b30.npy, TC = 0.5671, TD = 0.6786
文件名: ./emb_a5b65.npy, TC = 0.5474, TD = 0.6062
文件名: ./emb_a30b55.npy, TC = 0.3372, TD = 1.0000
文件名: ./emb_a75b80.npy, TC = 0.5707, TD = 0.6708
文件名: ./emb_a35b95.npy, TC = 0.5430, TD = 0.5935
文件名: ./emb_a15b65.npy, TC = 0.5892, TD = 0.7000
文件名: ./emb_a25b35.npy, TC = 0.3370, TD = 1.0000
文件名: ./emb_a5b80.npy, TC = 0.5185, TD = 0.5522
文件名: ./emb_a15b75.npy, TC = 0.5425, TD = 0.6000
文件名: ./emb_a15b25.npy, TC = 0.3690, TD = 1.0000
文件名: ./emb_a90b45.npy, TC = 0.5727, TD = 0.6920
文件名: ./emb_a65b50.npy, TC = 0.5655, TD = 0.6667
文件名: ./emb_a50b20.npy, TC = 0.5815, TD = 0.6880
文件名: ./emb_a50b25.npy, TC = 0.5858, TD = 0.7083
文件名: ./emb_a20b20.npy, TC = 0.5075, TD = 0.7000
文件名: ./emb_a30b65.npy, TC = 0.5760, TD = 0.6773
文件名: ./emb_a20b5.npy, TC = 0.5184, TD = 0.7000
文件名: ./emb_a30b25.npy, TC = 0.5969, TD = 0.6696
文件名: ./emb_a85b20.npy, TC = 0.5755, TD = 0.6560
文件名: ./emb_a35b60.npy, TC = 0.5979, TD = 0.6960
文件名: ./emb_a5b15.npy, TC = 0.3696, TD = 1.0000
文件名: ./emb_a60b25.npy, TC = 0.5797, TD = 0.7038
文件名: ./emb_a60b10.npy, TC = 0.5821, TD = 0.6963
文件名: ./emb_a60b35.npy, TC = 0.4358, TD = 0.7000
文件名: ./emb_a20b55.npy, TC = 0.3377, TD = 1.0000
文件名: ./emb_a45b95.npy, TC = 0.5648, TD = 0.6760
文件名: ./emb_a35b85.npy, TC = 0.5785, TD = 0.6826
文件名: ./emb_a90b85.npy, TC = 0.5761, TD = 0.6591
文件名: ./emb_a95b10.npy, TC = 0.5680, TD = 0.6565
文件名: ./emb_a65b80.npy, TC = 0.5758, TD = 0.6833
文件名: ./emb_a30b40.npy, TC = 0.5818, TD = 0.6458
文件名: ./emb_a55b5.npy, TC = 0.5870, TD = 0.6741
文件名: ./emb_a35b35.npy, TC = 0.5885, TD = 0.6913
文件名: ./emb_a45b80.npy, TC = 0.5879, TD = 0.6889
文件名: ./emb_a15b15.npy, TC = 0.3678, TD = 1.0000
