文件名: ./emb_a30b50.npy, TC = 0.5123, TD = 0.6250
文件名: ./emb_a60b70.npy, TC = 0.5299, TD = 0.5933
文件名: ./emb_a5b50.npy, TC = 0.5340, TD = 0.5750
文件名: ./emb_a45b65.npy, TC = 0.5662, TD = 0.6562
文件名: ./emb_a35b30.npy, TC = 0.5091, TD = 0.5400
文件名: ./emb_a25b60.npy, TC = 0.5664, TD = 0.6222
文件名: ./emb_a40b30.npy, TC = 0.3951, TD = 0.8500
文件名: ./emb_a25b30.npy, TC = 0.4517, TD = 0.7000
文件名: ./emb_a15b40.npy, TC = 0.5217, TD = 0.6000
文件名: ./emb_a30b15.npy, TC = 0.4508, TD = 0.7000
文件名: ./emb_a90b90.npy, TC = 0.5073, TD = 0.5211
文件名: ./emb_a10b45.npy, TC = 0.5263, TD = 0.5687
文件名: ./emb_a40b65.npy, TC = 0.5479, TD = 0.6263
文件名: ./emb_a75b50.npy, TC = 0.4949, TD = 0.9000
文件名: ./emb_a60b50.npy, TC = 0.5085, TD = 0.5188
文件名: ./emb_a85b55.npy, TC = 0.5227, TD = 0.5429
文件名: ./emb_a50b95.npy, TC = 0.5382, TD = 0.5708
文件名: ./emb_a55b70.npy, TC = 0.5429, TD = 0.6533
文件名: ./emb_a95b95.npy, TC = 0.5111, TD = 0.5375
文件名: ./emb_a70b25.npy, TC = 0.5145, TD = 0.5095
文件名: ./emb_a5b40.npy, TC = 0.4898, TD = 0.5188
文件名: ./emb_a10b5.npy, TC = 0.4986, TD = 0.4917
文件名: ./emb_a70b20.npy, TC = 0.5127, TD = 0.5333
文件名: ./emb_a80b85.npy, TC = 0.5088, TD = 0.5375
文件名: ./emb_a50b65.npy, TC = 0.5536, TD = 0.5700
文件名: ./emb_a75b65.npy, TC = 0.5405, TD = 0.5526
文件名: ./emb_a45b20.npy, TC = 0.5323, TD = 0.5250
文件名: ./emb_a80b60.npy, TC = 0.5379, TD = 0.5609
文件名: ./emb_a75b40.npy, TC = 0.5238, TD = 0.5050
文件名: ./emb_a60b80.npy, TC = 0.5490, TD = 0.5722
文件名: ./emb_a30b45.npy, TC = 0.5211, TD = 0.6500
文件名: ./emb_a65b70.npy, TC = 0.5181, TD = 0.5333
