文件名: ./emb_a85b55.npy, TC = 0.5803, TD = 0.6917
文件名: ./emb_a50b95.npy, TC = 0.5760, TD = 0.6880
文件名: ./emb_a55b70.npy, TC = 0.5745, TD = 0.6692
文件名: ./emb_a95b95.npy, TC = 0.5785, TD = 0.6769
文件名: ./emb_a70b25.npy, TC = 0.5668, TD = 0.6640
文件名: ./emb_a5b40.npy, TC = 0.5223, TD = 0.5571
文件名: ./emb_a10b5.npy, TC = 0.5209, TD = 0.5643
文件名: ./emb_a70b20.npy, TC = 0.5802, TD = 0.6885
文件名: ./emb_a80b85.npy, TC = 0.5798, TD = 0.6792
文件名: ./emb_a50b65.npy, TC = 0.5585, TD = 0.6773
文件名: ./emb_a75b65.npy, TC = 0.5679, TD = 0.6609
文件名: ./emb_a45b20.npy, TC = 0.5814, TD = 0.6800
文件名: ./emb_a80b60.npy, TC = 0.5760, TD = 0.6833
文件名: ./emb_a75b40.npy, TC = 0.5810, TD = 0.6750
文件名: ./emb_a60b80.npy, TC = 0.5916, TD = 0.7038
文件名: ./emb_a30b45.npy, TC = 0.5820, TD = 0.6870
文件名: ./emb_a65b70.npy, TC = 0.5862, TD = 0.6857
文件名: ./emb_a90b20.npy, TC = 0.5845, TD = 0.6913
文件名: ./emb_a90b25.npy, TC = 0.5741, TD = 0.6708
文件名: ./emb_a90b55.npy, TC = 0.5772, TD = 0.6708
文件名: ./emb_a60b5.npy, TC = 0.5757, TD = 0.6875
文件名: ./emb_a65b15.npy, TC = 0.5649, TD = 0.6364
文件名: ./emb_a70b95.npy, TC = 0.5697, TD = 0.7000
文件名: ./emb_a30b80.npy, TC = 0.5762, TD = 0.6952
文件名: ./emb_a95b35.npy, TC = 0.5768, TD = 0.6826
文件名: ./emb_a25b5.npy, TC = 0.5763, TD = 0.6957
文件名: ./emb_a45b70.npy, TC = 0.5777, TD = 0.6917
文件名: ./emb_a40b25.npy, TC = 0.5687, TD = 0.6833
文件名: ./emb_a5b45.npy, TC = 0.5179, TD = 0.5929
文件名: ./emb_a25b10.npy, TC = 0.5763, TD = 0.7042
文件名: ./emb_a95b80.npy, TC = 0.5922, TD = 0.7045
文件名: ./emb_a15b85.npy, TC = 0.5311, TD = 0.5550
文件名: ./emb_a15b95.npy, TC = 0.5355, TD = 0.5280
文件名: ./emb_a20b45.npy, TC = 0.5790, TD = 0.6955
文件名: ./emb_a70b55.npy, TC = 0.5814, TD = 0.6923
文件名: ./emb_a95b85.npy, TC = 0.5739, TD = 0.7000
文件名: ./emb_a60b60.npy, TC = 0.5713, TD = 0.7000
文件名: ./emb_a45b90.npy, TC = 0.5709, TD = 0.6889
文件名: ./emb_a90b75.npy, TC = 0.5798, TD = 0.6760
文件名: ./emb_a25b75.npy, TC = 0.5616, TD = 0.7091
文件名: ./emb_a85b45.npy, TC = 0.5746, TD = 0.6720
文件名: ./emb_a70b10.npy, TC = 0.5755, TD = 0.6958
文件名: ./emb_a80b5.npy, TC = 0.5777, TD = 0.6792
文件名: ./emb_a80b40.npy, TC = 0.5699, TD = 0.6739
文件名: ./emb_a65b95.npy, TC = 0.5723, TD = 0.6960
