文件名: ./emb_a65b95.npy, TC = 0.5753, TD = 0.6840
文件名: ./emb_a85b85.npy, TC = 0.5904, TD = 0.6913
文件名: ./emb_a40b95.npy, TC = 0.5808, TD = 0.6864
文件名: ./emb_a60b95.npy, TC = 0.5810, TD = 0.7000
文件名: ./emb_a65b35.npy, TC = 0.5773, TD = 0.6760
文件名: ./emb_a80b15.npy, TC = 0.5808, TD = 0.6750
文件名: ./emb_a90b40.npy, TC = 0.5859, TD = 0.6923
文件名: ./emb_a30b95.npy, TC = 0.5782, TD = 0.6636
文件名: ./emb_a50b30.npy, TC = 0.5833, TD = 0.6760
文件名: ./emb_a5b65.npy, TC = 0.5207, TD = 0.6545
文件名: ./emb_a30b55.npy, TC = 0.5729, TD = 0.6750
文件名: ./emb_a75b80.npy, TC = 0.5734, TD = 0.6880
文件名: ./emb_a35b95.npy, TC = 0.5707, TD = 0.7190
文件名: ./emb_a15b65.npy, TC = 0.5715, TD = 0.6778
文件名: ./emb_a25b35.npy, TC = 0.5765, TD = 0.6875
文件名: ./emb_a5b80.npy, TC = 0.5238, TD = 0.5696
文件名: ./emb_a15b75.npy, TC = 0.5733, TD = 0.6500
文件名: ./emb_a15b25.npy, TC = 0.5920, TD = 0.6889
文件名: ./emb_a90b45.npy, TC = 0.5814, TD = 0.6792
文件名: ./emb_a65b50.npy, TC = 0.5833, TD = 0.7077
文件名: ./emb_a50b20.npy, TC = 0.5991, TD = 0.6962
文件名: ./emb_a50b25.npy, TC = 0.5610, TD = 0.6667
文件名: ./emb_a20b20.npy, TC = 0.5863, TD = 0.6889
文件名: ./emb_a30b65.npy, TC = 0.5766, TD = 0.6600
文件名: ./emb_a20b5.npy, TC = 0.4370, TD = 0.7000
文件名: ./emb_a30b25.npy, TC = 0.5911, TD = 0.7250
文件名: ./emb_a85b20.npy, TC = 0.5845, TD = 0.6792
文件名: ./emb_a35b60.npy, TC = 0.5793, TD = 0.6609
文件名: ./emb_a5b15.npy, TC = 0.5028, TD = 0.5200
文件名: ./emb_a60b25.npy, TC = 0.5838, TD = 0.6792
文件名: ./emb_a60b10.npy, TC = 0.5741, TD = 0.7000
文件名: ./emb_a60b35.npy, TC = 0.5640, TD = 0.6783
文件名: ./emb_a20b55.npy, TC = 0.5689, TD = 0.6900
文件名: ./emb_a45b95.npy, TC = 0.5971, TD = 0.7040
文件名: ./emb_a35b85.npy, TC = 0.5704, TD = 0.6850
文件名: ./emb_a90b85.npy, TC = 0.5789, TD = 0.6846
文件名: ./emb_a95b10.npy, TC = 0.5834, TD = 0.6960
文件名: ./emb_a65b80.npy, TC = 0.5870, TD = 0.6952
文件名: ./emb_a30b40.npy, TC = 0.4752, TD = 0.6500
文件名: ./emb_a55b5.npy, TC = 0.5952, TD = 0.6958
文件名: ./emb_a35b35.npy, TC = 0.5792, TD = 0.6920
文件名: ./emb_a45b80.npy, TC = 0.5726, TD = 0.6704
文件名: ./emb_a15b15.npy, TC = 0.6038, TD = 0.6667
文件名: ./emb_a45b35.npy, TC = 0.5797, TD = 0.6652
文件名: ./emb_a35b45.npy, TC = 0.5788, TD = 0.6880
文件名: ./emb_a65b75.npy, TC = 0.5844, TD = 0.6739
文件名: ./emb_a35b65.npy, TC = 0.5768, TD = 0.6520
文件名: ./emb_a85b25.npy, TC = 0.5704, TD = 0.6727
文件名: ./emb_a40b40.npy, TC = 0.5787, TD = 0.6833
文件名: ./emb_a50b90.npy, TC = 0.5703, TD = 0.6565
文件名: ./emb_a40b5.npy, TC = 0.5720, TD = 0.6696
文件名: ./emb_a5b75.npy, TC = 0.5347, TD = 0.5591
文件名: ./emb_a65b55.npy, TC = 0.5704, TD = 0.6818
文件名: ./emb_a30b60.npy, TC = 0.5775, TD = 0.6800
文件名: ./emb_a20b85.npy, TC = 0.5746, TD = 0.6762
文件名: ./emb_a25b45.npy, TC = 0.5907, TD = 0.7083
文件名: ./emb_a50b50.npy, TC = 0.5786, TD = 0.6875
文件名: ./emb_a45b40.npy, TC = 0.5764, TD = 0.6792
文件名: ./emb_a25b65.npy, TC = 0.5883, TD = 0.7091
文件名: ./emb_a55b80.npy, TC = 0.5763, TD = 0.7048
文件名: ./emb_a45b55.npy, TC = 0.5822, TD = 0.6667
文件名: ./emb_a95b25.npy, TC = 0.5714, TD = 0.6870
文件名: ./emb_a70b60.npy, TC = 0.5557, TD = 0.6640
文件名: ./emb_a95b50.npy, TC = 0.5802, TD = 0.6667
文件名: ./emb_a10b75.npy, TC = 0.5598, TD = 0.5524
文件名: ./emb_a90b95.npy, TC = 0.5904, TD = 0.7000
文件名: ./emb_a30b90.npy, TC = 0.6005, TD = 0.7136
文件名: ./emb_a75b45.npy, TC = 0.5782, TD = 0.6769
文件名: ./emb_a15b55.npy, TC = 0.5764, TD = 0.6900
文件名: ./emb_a5b70.npy, TC = 0.5080, TD = 0.5846
文件名: ./emb_a35b25.npy, TC = 0.5849, TD = 0.6720
文件名: ./emb_a60b30.npy, TC = 0.5711, TD = 0.6640
文件名: ./emb_a50b40.npy, TC = 0.5677, TD = 0.6667
文件名: ./emb_a30b30.npy, TC = 0.6036, TD = 0.7125
文件名: ./emb_a90b15.npy, TC = 0.5823, TD = 0.6958
文件名: ./emb_a60b65.npy, TC = 0.5768, TD = 0.6435
文件名: ./emb_a70b90.npy, TC = 0.5741, TD = 0.6870
