文件名: ./emb_a60b70.npy, TC = 0.5672, TD = 0.6652
文件名: ./emb_a5b50.npy, TC = 0.5225, TD = 0.6455
文件名: ./emb_a45b65.npy, TC = 0.5838, TD = 0.6750
文件名: ./emb_a35b30.npy, TC = 0.5828, TD = 0.6739
文件名: ./emb_a25b60.npy, TC = 0.4393, TD = 0.7000
文件名: ./emb_a40b30.npy, TC = 0.5790, TD = 0.6654
文件名: ./emb_a25b30.npy, TC = 0.5730, TD = 0.6958
文件名: ./emb_a15b40.npy, TC = 0.5834, TD = 0.6765
文件名: ./emb_a30b15.npy, TC = 0.5755, TD = 0.6696
文件名: ./emb_a90b90.npy, TC = 0.5791, TD = 0.6833
文件名: ./emb_a10b45.npy, TC = 0.5168, TD = 0.9000
文件名: ./emb_a40b65.npy, TC = 0.4394, TD = 0.7000
文件名: ./emb_a75b50.npy, TC = 0.5784, TD = 0.6739
文件名: ./emb_a60b50.npy, TC = 0.5909, TD = 0.6833
文件名: ./emb_a85b55.npy, TC = 0.5857, TD = 0.6833
文件名: ./emb_a50b95.npy, TC = 0.5889, TD = 0.6880
文件名: ./emb_a55b70.npy, TC = 0.5810, TD = 0.6731
文件名: ./emb_a95b95.npy, TC = 0.5797, TD = 0.6769
文件名: ./emb_a70b25.npy, TC = 0.5752, TD = 0.6760
文件名: ./emb_a5b40.npy, TC = 0.5299, TD = 0.5500
文件名: ./emb_a10b5.npy, TC = 0.5150, TD = 0.5571
文件名: ./emb_a70b20.npy, TC = 0.5807, TD = 0.6808
文件名: ./emb_a80b85.npy, TC = 0.5850, TD = 0.6833
文件名: ./emb_a50b65.npy, TC = 0.5804, TD = 0.6955
文件名: ./emb_a75b65.npy, TC = 0.5729, TD = 0.6652
文件名: ./emb_a45b20.npy, TC = 0.5869, TD = 0.7000
文件名: ./emb_a80b60.npy, TC = 0.5815, TD = 0.6875
文件名: ./emb_a75b40.npy, TC = 0.5856, TD = 0.6958
文件名: ./emb_a60b80.npy, TC = 0.5930, TD = 0.6846
文件名: ./emb_a30b45.npy, TC = 0.5729, TD = 0.7000
文件名: ./emb_a65b70.npy, TC = 0.5972, TD = 0.6905
文件名: ./emb_a90b20.npy, TC = 0.5834, TD = 0.6739
文件名: ./emb_a90b25.npy, TC = 0.5717, TD = 0.6875
文件名: ./emb_a90b55.npy, TC = 0.5831, TD = 0.6750
文件名: ./emb_a60b5.npy, TC = 0.5754, TD = 0.6958
文件名: ./emb_a65b15.npy, TC = 0.5829, TD = 0.6727
文件名: ./emb_a70b95.npy, TC = 0.5810, TD = 0.7000
文件名: ./emb_a30b80.npy, TC = 0.5784, TD = 0.6952
文件名: ./emb_a95b35.npy, TC = 0.5714, TD = 0.6609
文件名: ./emb_a25b5.npy, TC = 0.5716, TD = 0.6913
文件名: ./emb_a45b70.npy, TC = 0.5869, TD = 0.7000
文件名: ./emb_a40b25.npy, TC = 0.5787, TD = 0.6875
文件名: ./emb_a5b45.npy, TC = 0.5186, TD = 0.5786
文件名: ./emb_a25b10.npy, TC = 0.5717, TD = 0.7167
文件名: ./emb_a95b80.npy, TC = 0.5884, TD = 0.7000
文件名: ./emb_a15b85.npy, TC = 0.5261, TD = 0.5350
文件名: ./emb_a15b95.npy, TC = 0.5126, TD = 0.4840
文件名: ./emb_a20b45.npy, TC = 0.5648, TD = 0.6727
文件名: ./emb_a70b55.npy, TC = 0.5778, TD = 0.6769
文件名: ./emb_a95b85.npy, TC = 0.5688, TD = 0.6875
文件名: ./emb_a60b60.npy, TC = 0.5837, TD = 0.6957
文件名: ./emb_a45b90.npy, TC = 0.5827, TD = 0.6926
文件名: ./emb_a90b75.npy, TC = 0.5855, TD = 0.6760
文件名: ./emb_a25b75.npy, TC = 0.5746, TD = 0.7182
文件名: ./emb_a85b45.npy, TC = 0.5747, TD = 0.6680
