文件名: ./emb_a30b65.npy, TC = 0.5693, TD = 0.6720
文件名: ./emb_a20b5.npy, TC = 0.4371, TD = 0.7000
文件名: ./emb_a30b25.npy, TC = 0.5642, TD = 0.7000
文件名: ./emb_a85b20.npy, TC = 0.5688, TD = 0.6667
文件名: ./emb_a35b60.npy, TC = 0.5714, TD = 0.6609
文件名: ./emb_a5b15.npy, TC = 0.4571, TD = 0.5000
文件名: ./emb_a60b25.npy, TC = 0.5702, TD = 0.6583
文件名: ./emb_a60b10.npy, TC = 0.5637, TD = 0.7000
文件名: ./emb_a60b35.npy, TC = 0.5673, TD = 0.6696
文件名: ./emb_a20b55.npy, TC = 0.5617, TD = 0.6850
文件名: ./emb_a45b95.npy, TC = 0.5838, TD = 0.6960
文件名: ./emb_a35b85.npy, TC = 0.5613, TD = 0.7200
文件名: ./emb_a90b85.npy, TC = 0.5701, TD = 0.6654
文件名: ./emb_a95b10.npy, TC = 0.5781, TD = 0.6760
文件名: ./emb_a65b80.npy, TC = 0.5831, TD = 0.6762
文件名: ./emb_a30b40.npy, TC = 0.4353, TD = 0.7000
文件名: ./emb_a55b5.npy, TC = 0.5810, TD = 0.6958
文件名: ./emb_a35b35.npy, TC = 0.5687, TD = 0.6720
文件名: ./emb_a45b80.npy, TC = 0.5475, TD = 0.6852
文件名: ./emb_a15b15.npy, TC = 0.5807, TD = 0.6556
文件名: ./emb_a45b35.npy, TC = 0.5780, TD = 0.6652
文件名: ./emb_a35b45.npy, TC = 0.5586, TD = 0.6920
文件名: ./emb_a65b75.npy, TC = 0.5725, TD = 0.6609
文件名: ./emb_a35b65.npy, TC = 0.5707, TD = 0.6640
文件名: ./emb_a85b25.npy, TC = 0.5700, TD = 0.6455
文件名: ./emb_a40b40.npy, TC = 0.5733, TD = 0.6750
文件名: ./emb_a50b90.npy, TC = 0.5769, TD = 0.6609
文件名: ./emb_a40b5.npy, TC = 0.5576, TD = 0.6652
文件名: ./emb_a5b75.npy, TC = 0.5031, TD = 0.5091
文件名: ./emb_a65b55.npy, TC = 0.5696, TD = 0.6682
文件名: ./emb_a30b60.npy, TC = 0.5605, TD = 0.6920
文件名: ./emb_a20b85.npy, TC = 0.5479, TD = 0.6429
文件名: ./emb_a25b45.npy, TC = 0.5626, TD = 0.6792
文件名: ./emb_a50b50.npy, TC = 0.5576, TD = 0.6792
文件名: ./emb_a45b40.npy, TC = 0.5632, TD = 0.6917
文件名: ./emb_a25b65.npy, TC = 0.5721, TD = 0.6955
文件名: ./emb_a55b80.npy, TC = 0.5760, TD = 0.6762
文件名: ./emb_a45b55.npy, TC = 0.5697, TD = 0.6704
文件名: ./emb_a95b25.npy, TC = 0.5690, TD = 0.6696
文件名: ./emb_a70b60.npy, TC = 0.5467, TD = 0.6600
文件名: ./emb_a95b50.npy, TC = 0.5718, TD = 0.6708
文件名: ./emb_a10b75.npy, TC = 0.5321, TD = 0.5286
文件名: ./emb_a90b95.npy, TC = 0.5681, TD = 0.6846
文件名: ./emb_a30b90.npy, TC = 0.5787, TD = 0.7091
文件名: ./emb_a75b45.npy, TC = 0.5699, TD = 0.6654
文件名: ./emb_a15b55.npy, TC = 0.5676, TD = 0.6800
文件名: ./emb_a5b70.npy, TC = 0.4845, TD = 0.5385
文件名: ./emb_a35b25.npy, TC = 0.5691, TD = 0.6840
文件名: ./emb_a60b30.npy, TC = 0.5515, TD = 0.6600
文件名: ./emb_a50b40.npy, TC = 0.5662, TD = 0.6792
文件名: ./emb_a30b30.npy, TC = 0.5725, TD = 0.6958
文件名: ./emb_a90b15.npy, TC = 0.5784, TD = 0.6708
文件名: ./emb_a60b65.npy, TC = 0.5594, TD = 0.6435
文件名: ./emb_a70b90.npy, TC = 0.5778, TD = 0.6783
文件名: ./emb_a80b95.npy, TC = 0.5854, TD = 0.6833
文件名: ./emb_a45b75.npy, TC = 0.5766, TD = 0.6821
