文件名: ./emb_a85b85.npy, TC = 0.5824, TD = 0.6913
文件名: ./emb_a40b95.npy, TC = 0.5586, TD = 0.6107
文件名: ./emb_a60b95.npy, TC = 0.5845, TD = 0.6750
文件名: ./emb_a65b35.npy, TC = 0.4375, TD = 0.7000
文件名: ./emb_a80b15.npy, TC = 0.4379, TD = 0.7000
文件名: ./emb_a90b40.npy, TC = 0.5786, TD = 0.6840
文件名: ./emb_a30b95.npy, TC = 0.5856, TD = 0.5833
文件名: ./emb_a50b30.npy, TC = 0.5871, TD = 0.6929
文件名: ./emb_a5b65.npy, TC = 0.5515, TD = 0.6062
文件名: ./emb_a30b55.npy, TC = 0.4410, TD = 1.0000
文件名: ./emb_a75b80.npy, TC = 0.5877, TD = 0.6958
文件名: ./emb_a35b95.npy, TC = 0.5772, TD = 0.6258
文件名: ./emb_a15b65.npy, TC = 0.5991, TD = 0.7200
文件名: ./emb_a25b35.npy, TC = 0.4411, TD = 1.0000
文件名: ./emb_a5b80.npy, TC = 0.5588, TD = 0.5696
文件名: ./emb_a15b75.npy, TC = 0.5743, TD = 0.6043
文件名: ./emb_a15b25.npy, TC = 0.4411, TD = 1.0000
文件名: ./emb_a90b45.npy, TC = 0.5895, TD = 0.7120
文件名: ./emb_a65b50.npy, TC = 0.5796, TD = 0.6708
文件名: ./emb_a50b20.npy, TC = 0.5956, TD = 0.7000
文件名: ./emb_a50b25.npy, TC = 0.5969, TD = 0.7125
文件名: ./emb_a20b20.npy, TC = 0.5774, TD = 0.7333
文件名: ./emb_a30b65.npy, TC = 0.5752, TD = 0.6636
文件名: ./emb_a20b5.npy, TC = 0.5480, TD = 0.7000
文件名: ./emb_a30b25.npy, TC = 0.6075, TD = 0.6870
文件名: ./emb_a85b20.npy, TC = 0.5842, TD = 0.6840
文件名: ./emb_a35b60.npy, TC = 0.6113, TD = 0.7080
文件名: ./emb_a5b15.npy, TC = 0.4405, TD = 1.0000
文件名: ./emb_a60b25.npy, TC = 0.5972, TD = 0.7000
文件名: ./emb_a60b10.npy, TC = 0.6116, TD = 0.7259
文件名: ./emb_a60b35.npy, TC = 0.4378, TD = 0.7000
文件名: ./emb_a20b55.npy, TC = 0.3658, TD = 1.0000
文件名: ./emb_a45b95.npy, TC = 0.5960, TD = 0.6960
文件名: ./emb_a35b85.npy, TC = 0.6039, TD = 0.7000
文件名: ./emb_a90b85.npy, TC = 0.5787, TD = 0.6955
文件名: ./emb_a95b10.npy, TC = 0.5779, TD = 0.6696
文件名: ./emb_a65b80.npy, TC = 0.5877, TD = 0.6958
文件名: ./emb_a30b40.npy, TC = 0.5953, TD = 0.6625
文件名: ./emb_a55b5.npy, TC = 0.6015, TD = 0.6963
文件名: ./emb_a35b35.npy, TC = 0.6085, TD = 0.7000
文件名: ./emb_a45b80.npy, TC = 0.6003, TD = 0.7037
文件名: ./emb_a15b15.npy, TC = 0.4402, TD = 1.0000
文件名: ./emb_a45b35.npy, TC = 0.6029, TD = 0.7280
文件名: ./emb_a35b45.npy, TC = 0.6068, TD = 0.7000
文件名: ./emb_a65b75.npy, TC = 0.5943, TD = 0.6792
文件名: ./emb_a35b65.npy, TC = 0.6065, TD = 0.7087
文件名: ./emb_a85b25.npy, TC = 0.5905, TD = 0.6808
文件名: ./emb_a40b40.npy, TC = 0.6035, TD = 0.7192
文件名: ./emb_a50b90.npy, TC = 0.5818, TD = 0.7000
文件名: ./emb_a40b5.npy, TC = 0.5990, TD = 0.6962
文件名: ./emb_a5b75.npy, TC = 0.5657, TD = 0.5619
文件名: ./emb_a65b55.npy, TC = 0.5940, TD = 0.6821
文件名: ./emb_a30b60.npy, TC = 0.5848, TD = 0.6909
文件名: ./emb_a20b85.npy, TC = 0.5779, TD = 0.6423
文件名: ./emb_a25b45.npy, TC = 0.4413, TD = 1.0000
文件名: ./emb_a50b50.npy, TC = 0.5935, TD = 0.7087
文件名: ./emb_a45b40.npy, TC = 0.5985, TD = 0.7458
文件名: ./emb_a25b65.npy, TC = 0.5881, TD = 0.7080
文件名: ./emb_a55b80.npy, TC = 0.6063, TD = 0.7320
文件名: ./emb_a45b55.npy, TC = 0.6043, TD = 0.7286
文件名: ./emb_a95b25.npy, TC = 0.5875, TD = 0.6815
文件名: ./emb_a70b60.npy, TC = 0.5753, TD = 0.6667
文件名: ./emb_a95b50.npy, TC = 0.5794, TD = 0.6913
文件名: ./emb_a10b75.npy, TC = 0.5788, TD = 0.5750
文件名: ./emb_a90b95.npy, TC = 0.5910, TD = 0.6955
文件名: ./emb_a30b90.npy, TC = 0.5702, TD = 0.6667
文件名: ./emb_a75b45.npy, TC = 0.5670, TD = 0.6833
文件名: ./emb_a15b55.npy, TC = 0.4410, TD = 1.0000
文件名: ./emb_a5b70.npy, TC = 0.5682, TD = 0.6100
文件名: ./emb_a35b25.npy, TC = 0.6052, TD = 0.6750
文件名: ./emb_a60b30.npy, TC = 0.5890, TD = 0.7250
文件名: ./emb_a50b40.npy, TC = 0.5822, TD = 0.7000
文件名: ./emb_a30b30.npy, TC = 0.5937, TD = 0.6714
文件名: ./emb_a90b15.npy, TC = 0.5085, TD = 0.7000
文件名: ./emb_a60b65.npy, TC = 0.5994, TD = 0.7000
文件名: ./emb_a70b90.npy, TC = 0.5843, TD = 0.6920
文件名: ./emb_a80b95.npy, TC = 0.5893, TD = 0.7000
文件名: ./emb_a45b75.npy, TC = 0.6045, TD = 0.7111
文件名: ./emb_a40b35.npy, TC = 0.4410, TD = 1.0000
文件名: ./emb_a20b40.npy, TC = 0.5873, TD = 0.6526
文件名: ./emb_a65b60.npy, TC = 0.5904, TD = 0.6778
文件名: ./emb_a10b25.npy, TC = 0.4782, TD = 0.6500
文件名: ./emb_a85b70.npy, TC = 0.5796, TD = 0.6826
文件名: ./emb_a20b25.npy, TC = 0.5973, TD = 0.6700
文件名: ./emb_a80b65.npy, TC = 0.5743, TD = 0.6667
文件名: ./emb_a55b55.npy, TC = 0.5958, TD = 0.6792
文件名: ./emb_a15b35.npy, TC = 0.4414, TD = 1.0000
文件名: ./emb_a70b40.npy, TC = 0.5988, TD = 0.6852
文件名: ./emb_a85b50.npy, TC = 0.5814, TD = 0.6957
文件名: ./emb_a85b75.npy, TC = 0.5801, TD = 0.6917
文件名: ./emb_a85b30.npy, TC = 0.5954, TD = 0.6917
文件名: ./emb_a30b5.npy, TC = 0.6091, TD = 0.6957
文件名: ./emb_a25b50.npy, TC = 0.4414, TD = 1.0000
文件名: ./emb_a50b55.npy, TC = 0.6079, TD = 0.7217
文件名: ./emb_a90b50.npy, TC = 0.5961, TD = 0.6917
文件名: ./emb_a35b15.npy, TC = 0.6090, TD = 0.7000
文件名: ./emb_a85b35.npy, TC = 0.4753, TD = 0.6500
文件名: ./emb_a20b70.npy, TC = 0.5870, TD = 0.6850
文件名: ./emb_a75b25.npy, TC = 0.5080, TD = 0.7000
文件名: ./emb_a90b80.npy, TC = 0.5842, TD = 0.7091
文件名: ./emb_a10b85.npy, TC = 0.5650, TD = 0.6231
文件名: ./emb_a95b20.npy, TC = 0.5671, TD = 0.6840
文件名: ./emb_a5b20.npy, TC = 0.4404, TD = 1.0000
文件名: ./emb_a20b60.npy, TC = 0.4406, TD = 1.0000
文件名: ./emb_a50b10.npy, TC = 0.5951, TD = 0.7154
文件名: ./emb_a35b5.npy, TC = 0.6092, TD = 0.7040
文件名: ./emb_a25b90.npy, TC = 0.5487, TD = 0.6190
文件名: ./emb_a40b70.npy, TC = 0.4410, TD = 1.0000
文件名: ./emb_a90b70.npy, TC = 0.5893, TD = 0.6870
文件名: ./emb_a10b15.npy, TC = 0.4403, TD = 1.0000
文件名: ./emb_a80b50.npy, TC = 0.5984, TD = 0.7115
文件名: ./emb_a50b45.npy, TC = 0.6024, TD = 0.7000
文件名: ./emb_a10b20.npy, TC = 0.4778, TD = 0.6500
文件名: ./emb_a30b10.npy, TC = 0.5937, TD = 0.7000
文件名: ./emb_a35b55.npy, TC = 0.6092, TD = 0.6957
文件名: ./emb_a75b95.npy, TC = 0.5833, TD = 0.6840
文件名: ./emb_a95b30.npy, TC = 0.5992, TD = 0.6917
文件名: ./emb_a10b30.npy, TC = 0.4782, TD = 0.6500
文件名: ./emb_a35b75.npy, TC = 0.4413, TD = 1.0000
文件名: ./emb_a50b5.npy, TC = 0.6016, TD = 0.7179
文件名: ./emb_a35b80.npy, TC = 0.6035, TD = 0.6520
