文件名: ./emb_a30b40.npy, TC = 0.5726, TD = 0.6611
文件名: ./emb_a55b5.npy, TC = 0.5704, TD = 0.6960
文件名: ./emb_a35b35.npy, TC = 0.5836, TD = 0.6900
文件名: ./emb_a45b80.npy, TC = 0.5553, TD = 0.6375
文件名: ./emb_a15b15.npy, TC = 0.5838, TD = 0.6083
文件名: ./emb_a45b35.npy, TC = 0.5708, TD = 0.6850
文件名: ./emb_a35b45.npy, TC = 0.5852, TD = 0.6944
文件名: ./emb_a65b75.npy, TC = 0.5818, TD = 0.6739
文件名: ./emb_a35b65.npy, TC = 0.5568, TD = 0.6318
文件名: ./emb_a85b25.npy, TC = 0.5680, TD = 0.6913
文件名: ./emb_a40b40.npy, TC = 0.5870, TD = 0.7050
文件名: ./emb_a50b90.npy, TC = 0.5213, TD = 0.5800
文件名: ./emb_a40b5.npy, TC = 0.5537, TD = 0.6556
文件名: ./emb_a5b75.npy, TC = 0.5615, TD = 0.5455
文件名: ./emb_a65b55.npy, TC = 0.5789, TD = 0.6905
文件名: ./emb_a30b60.npy, TC = 0.5402, TD = 0.6647
文件名: ./emb_a20b85.npy, TC = 0.5771, TD = 0.6226
文件名: ./emb_a25b45.npy, TC = 0.5733, TD = 0.6474
文件名: ./emb_a50b50.npy, TC = 0.5963, TD = 0.6880
文件名: ./emb_a45b40.npy, TC = 0.5546, TD = 0.6588
文件名: ./emb_a25b65.npy, TC = 0.5253, TD = 0.6250
文件名: ./emb_a55b80.npy, TC = 0.5739, TD = 0.6667
文件名: ./emb_a45b55.npy, TC = 0.5743, TD = 0.6714
文件名: ./emb_a95b25.npy, TC = 0.5619, TD = 0.6522
文件名: ./emb_a70b60.npy, TC = 0.5763, TD = 0.6630
文件名: ./emb_a95b50.npy, TC = 0.5649, TD = 0.6375
文件名: ./emb_a10b75.npy, TC = 0.5559, TD = 0.6174
文件名: ./emb_a90b95.npy, TC = 0.5652, TD = 0.6636
文件名: ./emb_a30b90.npy, TC = 0.5608, TD = 0.5750
文件名: ./emb_a75b45.npy, TC = 0.5612, TD = 0.6652
文件名: ./emb_a15b55.npy, TC = 0.5562, TD = 0.6062
文件名: ./emb_a5b70.npy, TC = 0.5723, TD = 0.6409
文件名: ./emb_a35b25.npy, TC = 0.5725, TD = 0.6524
文件名: ./emb_a60b30.npy, TC = 0.5937, TD = 0.6917
文件名: ./emb_a50b40.npy, TC = 0.5763, TD = 0.6905
文件名: ./emb_a30b30.npy, TC = 0.5721, TD = 0.6765
文件名: ./emb_a90b15.npy, TC = 0.5689, TD = 0.6773
文件名: ./emb_a60b65.npy, TC = 0.5888, TD = 0.6789
文件名: ./emb_a70b90.npy, TC = 0.5565, TD = 0.6381
文件名: ./emb_a80b95.npy, TC = 0.5630, TD = 0.6600
文件名: ./emb_a45b75.npy, TC = 0.5544, TD = 0.6474
文件名: ./emb_a40b35.npy, TC = 0.5809, TD = 0.7053
文件名: ./emb_a20b40.npy, TC = 0.5922, TD = 0.6696
文件名: ./emb_a65b60.npy, TC = 0.5831, TD = 0.6864
文件名: ./emb_a10b25.npy, TC = 0.5538, TD = 0.6200
文件名: ./emb_a85b70.npy, TC = 0.5614, TD = 0.6778
文件名: ./emb_a20b25.npy, TC = 0.6029, TD = 0.6957
文件名: ./emb_a80b65.npy, TC = 0.5645, TD = 0.6833
文件名: ./emb_a55b55.npy, TC = 0.5726, TD = 0.6654
文件名: ./emb_a15b35.npy, TC = 0.5683, TD = 0.6667
文件名: ./emb_a70b40.npy, TC = 0.5695, TD = 0.6630
文件名: ./emb_a85b50.npy, TC = 0.5650, TD = 0.6765
文件名: ./emb_a85b75.npy, TC = 0.5921, TD = 0.6621
文件名: ./emb_a85b30.npy, TC = 0.5685, TD = 0.6864
文件名: ./emb_a30b5.npy, TC = 0.5609, TD = 0.6278
文件名: ./emb_a25b50.npy, TC = 0.5570, TD = 0.6529
文件名: ./emb_a50b55.npy, TC = 0.5856, TD = 0.6870
文件名: ./emb_a90b50.npy, TC = 0.5715, TD = 0.6462
文件名: ./emb_a35b15.npy, TC = 0.5715, TD = 0.6778
文件名: ./emb_a85b35.npy, TC = 0.5713, TD = 0.6619
文件名: ./emb_a20b70.npy, TC = 0.5677, TD = 0.6273
文件名: ./emb_a75b25.npy, TC = 0.5693, TD = 0.6773
文件名: ./emb_a90b80.npy, TC = 0.5615, TD = 0.6417
文件名: ./emb_a10b85.npy, TC = 0.5728, TD = 0.5714
文件名: ./emb_a95b20.npy, TC = 0.5751, TD = 0.6571
文件名: ./emb_a5b20.npy, TC = 0.5161, TD = 0.6000
文件名: ./emb_a20b60.npy, TC = 0.5761, TD = 0.6609
文件名: ./emb_a50b10.npy, TC = 0.5841, TD = 0.6720
文件名: ./emb_a35b5.npy, TC = 0.5613, TD = 0.6478
文件名: ./emb_a25b90.npy, TC = 0.5586, TD = 0.6167
文件名: ./emb_a40b70.npy, TC = 0.5719, TD = 0.6636
文件名: ./emb_a90b70.npy, TC = 0.5739, TD = 0.6478
文件名: ./emb_a10b15.npy, TC = 0.5442, TD = 0.6375
文件名: ./emb_a80b50.npy, TC = 0.5671, TD = 0.6458
文件名: ./emb_a50b45.npy, TC = 0.5911, TD = 0.6808
文件名: ./emb_a10b20.npy, TC = 0.5672, TD = 0.6588
文件名: ./emb_a30b10.npy, TC = 0.5565, TD = 0.6722
文件名: ./emb_a35b55.npy, TC = 0.5548, TD = 0.6765
文件名: ./emb_a75b95.npy, TC = 0.5349, TD = 0.6500
文件名: ./emb_a95b30.npy, TC = 0.5636, TD = 0.6462
文件名: ./emb_a10b30.npy, TC = 0.5783, TD = 0.6550
文件名: ./emb_a35b75.npy, TC = 0.5673, TD = 0.6261
文件名: ./emb_a50b5.npy, TC = 0.5646, TD = 0.6792
文件名: ./emb_a35b80.npy, TC = 0.5207, TD = 0.6000
